Episode,Tactual,Tension,EnemyCount
0,"8.684372, 0.720356","56.57814, 96.39822","2, 1"
1,"6.291107, 0.7625618","68.54446, 96.18719","1, 0"
2,"5.618475, 7.679453, 2.19923","71.90762, 61.60274, 89.00385","2, 1, 0"
3,"4.120331, 1.100105, 2.082829","79.39835, 94.49947, 89.58586","2, 1, 0"
4,"7.416679, 2.640999","62.9166, 86.79501","1, 0"
5,,,
6,"2.980927, 0.3796005, 2.219528","85.09537, 98.102, 88.90236","2, 1, 0"
7,"7.099152, 0.8829041, 2.016777, 8.682533","64.50424, 95.58548, 89.91611, 56.58733","3, 2, 1, 0"
8,"2.716766, 1.300156, 9.9814","86.41617, 93.49922, 50.093","2, 1, 0"
9,"3.120613, 1.279549, 1.060638","84.39693, 93.60226, 94.69681","3, 2, 1"
10,11.89933,40.50335,3
11,"2.793884, 2.397903, 4.68187","86.03058, 88.01048, 76.59065","2, 1, 0"
12,"7.517944, 2.182251","62.41028, 89.08875","1, 0"
13,5.317856,73.41072,2
